name,appid,genre
Pummel Party,880940,Casual
Pummel Party,880940,Indie
South Park: The Stick of Truth,213670,Action
South Park: The Stick of Truth,213670,Adventure
South Park: The Stick of Truth,213670,RPG
Century: Age of Ashes,918570,Action
Century: Age of Ashes,918570,Free to Play
Century: Age of Ashes,918570,Indie
Mortal Kombat X,307780,Action
GunZ 2: The Second Duel,242720,Action
GunZ 2: The Second Duel,242720,Free to Play
GunZ 2: The Second Duel,242720,Indie
Remnant: From the Ashes,617290,Action
Remnant: From the Ashes,617290,Adventure
Remnant: From the Ashes,617290,RPG
DC Universe Online,24200,Action
DC Universe Online,24200,Adventure
DC Universe Online,24200,Free to Play
DC Universe Online,24200,Massively Multiplayer
DC Universe Online,24200,RPG
DRAGON BALL FighterZ,678950,Action
Broforce,274190,Action
Broforce,274190,Adventure
Broforce,274190,Casual
Broforce,274190,Indie
S.K.I.L.L. - Special Force 2 (Shooter),286940,Action
S.K.I.L.L. - Special Force 2 (Shooter),286940,Adventure
S.K.I.L.L. - Special Force 2 (Shooter),286940,Free to Play
S.K.I.L.L. - Special Force 2 (Shooter),286940,Sports
S.K.I.L.L. - Special Force 2 (Shooter),286940,Strategy
Stay Out,1180380,Action
Stay Out,1180380,Free to Play
Stay Out,1180380,Indie
Stay Out,1180380,Massively Multiplayer
Stay Out,1180380,RPG
Stay Out,1180380,Early Access
BioShock 2,8850,Action
Assassin's Creed 2,33230,Action
Assassin's Creed 2,33230,Adventure
Metro 2033 Redux,286690,Action
World of Guns: Gun Disassembly,262410,Action
World of Guns: Gun Disassembly,262410,Casual
World of Guns: Gun Disassembly,262410,Free to Play
World of Guns: Gun Disassembly,262410,Indie
World of Guns: Gun Disassembly,262410,Simulation
World of Guns: Gun Disassembly,262410,Strategy
Enclave,253980,Action
Enclave,253980,RPG
Ultimate Chicken Horse,386940,Action
Ultimate Chicken Horse,386940,Casual
Ultimate Chicken Horse,386940,Indie
Dungeon Defenders,65800,Action
Dungeon Defenders,65800,Indie
Dungeon Defenders,65800,RPG
Dungeon Defenders,65800,Strategy
Stumble Guys,1677740,Action
Stumble Guys,1677740,Casual
Stumble Guys,1677740,Indie
WARMODE,391460,Action
WARMODE,391460,Free to Play
Poppy Playtime,1721470,Action
Poppy Playtime,1721470,Adventure
Poppy Playtime,1721470,Indie
Kingdom Come: Deliverance,379430,Action
Kingdom Come: Deliverance,379430,Adventure
Kingdom Come: Deliverance,379430,RPG
Ori and the Blind Forest: Definitive Edition,387290,Action
Friday the 13th: The Game,438740,Action
Bastion,107100,Action
Bastion,107100,Indie
Bastion,107100,RPG
Metin2,550900,Action
Metin2,550900,Adventure
Metin2,550900,Free to Play
Metin2,550900,Massively Multiplayer
Metin2,550900,RPG
Assassin's Creed Origins,582160,Action
Assassin's Creed Origins,582160,Adventure
Assassin's Creed Origins,582160,RPG
DARK SOULS II: Scholar of the First Sin,335300,Action
DARK SOULS II: Scholar of the First Sin,335300,RPG
Argo,530700,Action
Argo,530700,Free to Play
Metro: Last Light Redux,287390,Action
Total War: WARHAMMER III,1142710,Action
Total War: WARHAMMER III,1142710,Strategy
SpeedRunners,207140,Action
SpeedRunners,207140,Casual
SpeedRunners,207140,Indie
SpeedRunners,207140,Racing
SpeedRunners,207140,Sports
America's Army: Proving Grounds,203290,Action
America's Army: Proving Grounds,203290,Free to Play
Black Mesa,362890,Action
Black Mesa,362890,Adventure
Black Mesa,362890,Indie
Need for Speed Heat,1222680,Action
Need for Speed Heat,1222680,Adventure
Need for Speed Heat,1222680,Racing
Need for Speed Heat,1222680,Sports
Homefront,55100,Action
嗜血印 Bloody Spell,992300,Action
嗜血印 Bloody Spell,992300,Adventure
嗜血印 Bloody Spell,992300,Indie
嗜血印 Bloody Spell,992300,RPG
Mafia II (Classic),50130,Action
Alien: Isolation,214490,Action
DARK SOULS: Prepare To Die Edition,211420,Action
DARK SOULS: Prepare To Die Edition,211420,RPG
Toribash,248570,Action
Toribash,248570,Free to Play
Toribash,248570,Indie
Toribash,248570,Strategy
Orcs Must Die! 2,201790,Action
Orcs Must Die! 2,201790,Adventure
Orcs Must Die! 2,201790,Indie
Orcs Must Die! 2,201790,RPG
Orcs Must Die! 2,201790,Strategy
Battlefield: Bad Company 2,24960,Action
Dishonored 2,403640,Action
Tom Clancy's Ghost Recon Wildlands,460930,Action
Tom Clancy's Ghost Recon Wildlands,460930,Adventure
STAR WARS Jedi: Fallen Order,1172380,Action
STAR WARS Jedi: Fallen Order,1172380,Adventure
Call of Duty: Black Ops,42700,Action
Far Cry 4,298110,Action
Far Cry 4,298110,Adventure
INSIDE,304430,Action
INSIDE,304430,Adventure
INSIDE,304430,Indie
Batman: Arkham Origins,209000,Action
Batman: Arkham Origins,209000,Adventure
Just Survive,295110,Action
Just Survive,295110,Adventure
Just Survive,295110,Massively Multiplayer
Phantasy Star Online 2,1056640,Action
Phantasy Star Online 2,1056640,Free to Play
Phantasy Star Online 2,1056640,Massively Multiplayer
Phantasy Star Online 2,1056640,RPG
METAL GEAR RISING: REVENGEANCE,235460,Action
Grand Theft Auto: Episodes from Liberty City,12220,Action
Spec Ops: The Line,50300,Action
Spec Ops: The Line,50300,Adventure
METAL GEAR SOLID V: THE PHANTOM PAIN,287700,Action
METAL GEAR SOLID V: THE PHANTOM PAIN,287700,Adventure
Lost Castle / 失落城堡,434650,Action
Lost Castle / 失落城堡,434650,Adventure
Lost Castle / 失落城堡,434650,Indie
Lost Castle / 失落城堡,434650,RPG
